,HomeTeam,AwayTeam,FTHG,FTAG,result,HTHG,HTAG,HTR,HST,AST,HF,AF,HY,AY,HR,AR,player_Name_home,player_Wins_home,player_Losses_home,player_Goals_home,player_Goals per match_home,player_Penalties scored_home,player_Shooting accuracy %_home,player_Own goals_home,player_Yellow cards_home,player_Red cards_home,player_Fouls_home,Forward_home,rank_home,matches_played_home,wins_home,drawns_home,goals_for_home,goals_against_home,goals_diff_home,points_home,lossess_home,rank_away,matches_played_away,wins_away,drawns_away,goals_for_away,goals_against_away,goals_diff_away,points_away,lossess_away,player_Name_away,player_Wins_away,player_Losses_away,player_Goals_away,player_Goals per match_away,player_Penalties scored_away,player_Shooting accuracy %_away,player_Own goals_away,player_Yellow cards_away,player_Red cards_away,player_Fouls_away,Forward_away,numberof_winby_home_between,numberof_winby_away_between,numberof_match_draw_between,number_of_match_play_between,Past_5_match_won_by_home,Past_5_match_won_by_away,Past_5_match_drwan
114,Chelsea,Tottenham,2,1,H,1,1,D,10,7,11,11,3,1,0,0,Callum Hudson-Odoi,18,12,1,0,0,28,0,1,0,12,Callum Hudson-Odoi,3,1038,558,257,1770,1002,28,71,223,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,1,1,3,5,1,1,3
115,Chelsea,Tottenham,0,0,D,0,0,D,5,7,9,11,1,2,0,0,Callum Hudson-Odoi,18,12,1,0,0,28,0,1,0,12,Callum Hudson-Odoi,3,1038,558,257,1770,1002,28,71,223,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,1,1,3,5,1,1,3
116,Chelsea,Tottenham,2,2,D,2,1,H,8,6,6,16,1,2,0,0,Callum Hudson-Odoi,18,12,1,0,0,28,0,1,0,12,Callum Hudson-Odoi,3,1038,558,257,1770,1002,28,71,223,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,1,1,3,5,1,1,3
117,Chelsea,Tottenham,2,2,D,0,2,A,5,5,9,20,3,9,0,0,Callum Hudson-Odoi,18,12,1,0,0,28,0,1,0,12,Callum Hudson-Odoi,3,1038,558,257,1770,1002,28,71,223,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,1,1,3,5,1,1,3
118,Chelsea,Tottenham,1,3,A,1,1,D,4,7,4,11,0,1,0,0,Callum Hudson-Odoi,18,12,1,0,0,28,0,1,0,12,Callum Hudson-Odoi,3,1038,558,257,1770,1002,28,71,223,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,1,1,3,5,1,1,3
119,Man United,Tottenham,3,0,H,0,0,D,21,12,12,9,1,2,0,0,Mason Greenwood,14,10,10,0,0,49,0,0,0,12,Mason Greenwood,1,1038,648,224,1989,929,39,80,166,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,2,1,0,3,2,1,0
120,Man United,Tottenham,1,0,H,1,0,H,1,4,12,12,2,3,0,0,Mason Greenwood,14,10,10,0,0,49,0,0,0,12,Mason Greenwood,1,1038,648,224,1989,929,39,80,166,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,2,1,0,3,2,1,0
121,Man United,Tottenham,0,3,A,0,0,D,5,5,11,16,2,4,0,0,Mason Greenwood,14,10,10,0,0,49,0,0,0,12,Mason Greenwood,1,1038,648,224,1989,929,39,80,166,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,2,1,0,3,2,1,0
122,Aston Villa,Tottenham,0,2,A,0,1,A,2,6,13,12,3,4,0,0,Bertrand Traoré,2,4,2,0,0,35,0,0,0,3,Bertrand Traoré,9,924,316,275,1117,1186,-2,50,333,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,0,2,0,2,0,2,0
123,Aston Villa,Tottenham,0,2,A,0,1,A,2,8,6,6,0,0,0,0,Bertrand Traoré,2,4,2,0,0,35,0,0,0,3,Bertrand Traoré,9,924,316,275,1117,1186,-2,50,333,6,1038,446,257,1547,1306,8,59,335,Gareth Bale,62,41,42,0,0,37,0,15,1,86,Gareth Bale,0,2,0,2,0,2,0
