,Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Defender,Forward,Midfielder,Goalkeeper
32,Ørjan Nyland,25.0,Aston Villa,Goalkeeper,Norway,30.0,7,1,4,0,,,,,,,,,,,,1.0,12.0,,,,,,,,,,,,,,,0.0,0.0,0,152,21.71,,,,,35.0,15.0,0.0,1.0,3.0,2.0,0.0,29.0,53.0,0,0,0,,0,0,0,Ørjan Nyland
33,Lovre Kalinic,28.0,Aston Villa,Goalkeeper,Croatia,30.0,0,0,0,0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,0,0,Lovre Kalinic
34,Emiliano Martínez,26.0,Aston Villa,Goalkeeper,Argentina,28.0,16,9,6,0,,,,,,,,,,,,7.0,16.0,,,,,,,,,,,,,,,0.0,0.0,0,397,24.81,,,,,62.0,44.0,1.0,2.0,22.0,6.0,4.0,86.0,103.0,2,0,1,,0,0,0,Emiliano Martínez
35,Neil Taylor,3.0,Aston Villa,Defender,Wales,31.0,145,48,62,0,,0.0,0.0,0.0,,,,,,0.0,,38.0,190.0,266.0,76%,1.0,14.0,241.0,350.0,133.0,1.0,614.0,493.0,454.0,46.0,94.0,142.0,1.0,0.0,5,5491,37.87,6.0,255.0,22%,5.0,214.0,,,,,,,,,21,0,121,3.0,Neil Taylor,0,0,0
36,Ezri Konsa Ngoyo,4.0,Aston Villa,Defender,England,22.0,26,8,12,2,,1.0,1.0,0.0,,,,,,0.0,,5.0,39.0,19.0,53%,0.0,3.0,27.0,70.0,26.0,0.0,106.0,116.0,81.0,7.0,56.0,48.0,0.0,1.0,2,810,31.15,2.0,13.0,46%,0.0,36.0,,,,,,,,,3,0,17,1.0,Ezri Konsa Ngoyo,0,0,0
37,Matt Targett,18.0,Aston Villa,Defender,England,25.0,72,24,28,2,,1.0,0.0,1.0,,,,,,1.0,,12.0,88.0,122.0,66%,0.0,8.0,124.0,156.0,61.0,1.0,297.0,274.0,239.0,21.0,84.0,84.0,0.0,1.0,6,2240,31.11,13.0,250.0,26%,8.0,140.0,,,,,,,,,8,0,41,2.0,Matt Targett,0,0,0
38,Björn Engels,22.0,Aston Villa,Defender,Belgium,26.0,17,3,12,1,,1.0,0.0,0.0,,,,,,0.0,,2.0,32.0,11.0,55%,0.0,0.0,28.0,85.0,42.0,0.0,53.0,71.0,39.0,1.0,55.0,27.0,0.0,1.0,0,647,38.06,0.0,2.0,50%,0.0,49.0,,,,,,,,,1,0,5,1.0,Björn Engels,0,0,0
39,Frédéric Guilbert,24.0,Aston Villa,Defender,France,25.0,25,7,13,0,,0.0,0.0,0.0,,,,,,0.0,,2.0,36.0,74.0,58%,0.0,2.0,49.0,62.0,26.0,0.0,104.0,164.0,172.0,23.0,48.0,68.0,0.0,0.0,2,749,29.96,1.0,91.0,16%,0.0,40.0,,,,,,,,,7,0,36,2.0,Frédéric Guilbert,0,0,0
40,Ahmed El Mohamady,27.0,Aston Villa,Defender,Egypt,33.0,183,48,91,6,,4.0,2.0,0.0,,,,,,4.0,,28.0,237.0,267.0,77%,0.0,19.0,246.0,342.0,162.0,5.0,909.0,960.0,866.0,128.0,444.0,410.0,1.0,1.0,13,6628,36.22,19.0,916.0,21%,7.0,304.0,,,,,,,,,12,1,152,13.0,Ahmed El Mohamady,0,0,0
41,Kortney Hause,30.0,Aston Villa,Defender,England,25.0,18,3,11,1,0.06,0.0,1.0,0.0,0.0,0.0,20.0,3.0,15%,0.0,3.0,,,21.0,43%,,2.0,20.0,94.0,51.0,,109.0,138.0,77.0,9.0,100.0,35.0,,1.0,0,799,44.39,1.0,0.0,0%,1.0,62.0,,,,,,,,,3,0,24,1.0,Kortney Hause,0,0,0
